scenario_id;scenario_name;treatment;trial;execution_order;elapsed_ms;response_bytes;checksum
Q2;Detalhe do repositorio;GraphQL;35;696;0.003208;185;171050203
Q2;Detalhe do repositorio;GraphQL;36;818;0.003833;185;171050203
Q2;Detalhe do repositorio;GraphQL;37;841;0.003458;185;171050203
Q2;Detalhe do repositorio;GraphQL;38;100;0.003208;185;171050203
Q2;Detalhe do repositorio;GraphQL;39;1057;0.003250;185;171050203
Q2;Detalhe do repositorio;GraphQL;40;414;0.003292;185;171050203
Q2;Detalhe do repositorio;GraphQL;41;530;0.003458;185;171050203
Q2;Detalhe do repositorio;GraphQL;42;24;0.003167;185;171050203
Q2;Detalhe do repositorio;GraphQL;43;598;0.003084;185;171050203
Q2;Detalhe do repositorio;GraphQL;44;691;0.003417;185;171050203
Q2;Detalhe do repositorio;GraphQL;45;429;0.003208;185;171050203
Q2;Detalhe do repositorio;GraphQL;46;705;0.003250;185;171050203
Q2;Detalhe do repositorio;GraphQL;47;920;0.003167;185;171050203
Q2;Detalhe do repositorio;GraphQL;48;843;0.003208;185;171050203
Q2;Detalhe do repositorio;GraphQL;49;349;0.003500;185;171050203
Q2;Detalhe do repositorio;GraphQL;50;534;0.002791;185;171050203
Q2;Detalhe do repositorio;GraphQL;51;729;0.003334;185;171050203
Q2;Detalhe do repositorio;GraphQL;52;767;0.002834;185;171050203
Q2;Detalhe do repositorio;GraphQL;53;905;0.003209;185;171050203
Q2;Detalhe do repositorio;GraphQL;54;593;0.002875;185;171050203
Q2;Detalhe do repositorio;GraphQL;55;381;0.003667;185;171050203
Q2;Detalhe do repositorio;GraphQL;56;899;0.003416;185;171050203
Q2;Detalhe do repositorio;GraphQL;57;496;0.003375;185;171050203
Q2;Detalhe do repositorio;GraphQL;58;795;0.003708;185;171050203
Q2;Detalhe do repositorio;GraphQL;59;289;0.003334;185;171050203
Q2;Detalhe do repositorio;GraphQL;60;617;0.003417;185;171050203
Q2;Detalhe do repositorio;GraphQL;61;1154;0.003167;185;171050203
Q2;Detalhe do repositorio;GraphQL;62;592;0.003541;185;171050203
Q2;Detalhe do repositorio;GraphQL;63;85;0.003208;185;171050203
Q2;Detalhe do repositorio;GraphQL;64;350;0.002958;185;171050203
Q2;Detalhe do repositorio;GraphQL;65;722;0.004167;185;171050203
Q2;Detalhe do repositorio;GraphQL;66;336;0.003375;185;171050203
Q2;Detalhe do repositorio;GraphQL;67;596;0.002959;185;171050203
Q2;Detalhe do repositorio;GraphQL;68;1024;0.003167;185;171050203
Q2;Detalhe do repositorio;GraphQL;69;517;0.003208;185;171050203
Q2;Detalhe do repositorio;GraphQL;70;304;0.003083;185;171050203
Q2;Detalhe do repositorio;GraphQL;71;1091;0.003833;185;171050203
Q2;Detalhe do repositorio;GraphQL;72;130;0.004083;185;171050203
Q2;Detalhe do repositorio;GraphQL;73;23;0.004958;185;171050203
Q2;Detalhe do repositorio;GraphQL;74;1010;0.003375;185;171050203
Q2;Detalhe do repositorio;GraphQL;75;410;0.003375;185;171050203
Q2;Detalhe do repositorio;GraphQL;76;796;0.002959;185;171050203
Q2;Detalhe do repositorio;GraphQL;77;358;0.003250;185;171050203
Q2;Detalhe do repositorio;GraphQL;78;764;0.003417;185;171050203
Q2;Detalhe do repositorio;GraphQL;79;545;0.003167;185;171050203
Q2;Detalhe do repositorio;GraphQL;80;209;0.003750;185;171050203
Q2;Detalhe do repositorio;GraphQL;81;782;0.003083;185;171050203
Q2;Detalhe do repositorio;GraphQL;82;724;0.003084;185;171050203
Q2;Detalhe do repositorio;GraphQL;83;141;0.009792;185;171050203
Q2;Detalhe do repositorio;GraphQL;84;1160;0.003167;185;171050203
Q2;Detalhe do repositorio;GraphQL;85;486;0.003625;185;171050203
Q2;Detalhe do repositorio;GraphQL;86;581;0.006334;185;171050203
Q2;Detalhe do repositorio;GraphQL;87;278;0.003500;185;171050203
Q2;Detalhe do repositorio;GraphQL;88;46;0.003916;185;171050203
Q2;Detalhe do repositorio;GraphQL;89;864;0.003000;185;171050203
Q2;Detalhe do repositorio;GraphQL;90;567;0.004709;185;171050203
Q2;Detalhe do repositorio;GraphQL;91;60;0.003333;185;171050203
Q2;Detalhe do repositorio;GraphQL;92;356;0.003375;185;171050203
Q2;Detalhe do repositorio;GraphQL;93;970;0.003333;185;171050203
Q2;Detalhe do repositorio;GraphQL;94;700;0.003125;185;171050203
Q2;Detalhe do repositorio;GraphQL;95;441;0.003166;185;171050203
Q2;Detalhe do repositorio;GraphQL;96;399;0.003417;185;171050203
Q2;Detalhe do repositorio;GraphQL;97;766;0.003375;185;171050203
Q2;Detalhe do repositorio;GraphQL;98;594;0.002792;185;171050203
Q2;Detalhe do repositorio;GraphQL;99;1022;0.003333;185;171050203
Q2;Detalhe do repositorio;GraphQL;100;387;0.003750;185;171050203
Q2;Detalhe do repositorio;GraphQL;101;256;0.003500;185;171050203
Q2;Detalhe do repositorio;GraphQL;102;693;0.003167;185;171050203
Q2;Detalhe do repositorio;GraphQL;103;769;0.002875;185;171050203
Q2;Detalhe do repositorio;GraphQL;104;717;0.005833;185;171050203
Q2;Detalhe do repositorio;GraphQL;105;895;0.003958;185;171050203
Q2;Detalhe do repositorio;GraphQL;106;109;0.003292;185;171050203
Q2;Detalhe do repositorio;GraphQL;107;1054;0.003375;185;171050203
Q2;Detalhe do repositorio;GraphQL;108;403;0.003292;185;171050203
Q2;Detalhe do repositorio;GraphQL;109;105;0.003333;185;171050203
Q2;Detalhe do repositorio;GraphQL;110;455;0.003250;185;171050203
Q2;Detalhe do repositorio;GraphQL;111;603;0.005916;185;171050203
Q2;Detalhe do repositorio;GraphQL;112;1064;0.003292;185;171050203
Q2;Detalhe do repositorio;GraphQL;113;66;0.003542;185;171050203
Q2;Detalhe do repositorio;GraphQL;114;302;0.002875;185;171050203
Q2;Detalhe do repositorio;GraphQL;115;434;0.003167;185;171050203
Q2;Detalhe do repositorio;GraphQL;116;269;0.003750;185;171050203
Q2;Detalhe do repositorio;GraphQL;117;913;0.003375;185;171050203
Q2;Detalhe do repositorio;GraphQL;118;823;0.003584;185;171050203
Q2;Detalhe do repositorio;GraphQL;119;375;0.003333;185;171050203
Q2;Detalhe do repositorio;GraphQL;120;422;0.003334;185;171050203
Q2;Detalhe do repositorio;REST;1;95;0.048917;12440;-1302055709
Q2;Detalhe do repositorio;REST;2;244;0.048667;12440;-1302055709
