cwe_id,cves_count,cvss_medio,quadrante,score_risco,high_critical_pct,rank_freq,rank_severity,cwe_nome_curto,cwe_label,faixa_risco,in_top10_risco,quadrante_ordem
CWE-117,85,5.89,Frequente,0.0012,18.82,168,644,CWE-117,CWE-117,Moderado/Baixo,False,3
CWE-565,66,7.54,Dupla Ameaca,0.0012,62.12,190,185,CWE-565,CWE-565,Moderado/Baixo,False,1
CWE-130,69,7.16,Frequente,0.0012,68.12,182,310,CWE-130,CWE-130,Moderado/Baixo,False,3
CWE-377,76,6.42,Frequente,0.0012,46.05,173,526,CWE-377,CWE-377,Moderado/Baixo,False,3
CWE-669,71,6.7,Frequente,0.0012,53.52,178,447,CWE-669,CWE-669,Moderado/Baixo,False,3
CWE-776,66,7.04,Frequente,0.0011,54.55,188,344,CWE-776,CWE-776,Moderado/Baixo,False,3
CWE-29,57,8.09,Severa,0.0011,91.23,196,73,CWE-29,CWE-29,Moderado/Baixo,False,2
CWE-1390,59,7.69,Severa,0.0011,72.88,194,148,CWE-1390,CWE-1390,Moderado/Baixo,False,2
CWE-113,68,6.57,Frequente,0.0011,32.35,183,484,CWE-113,CWE-113,Moderado/Baixo,False,3
CWE-277,65,6.85,Baixo Risco,0.0011,53.85,191,405,CWE-277,CWE-277,Moderado/Baixo,False,4
CWE-184,61,7.13,Baixo Risco,0.0011,55.74,193,320,CWE-184,CWE-184,Moderado/Baixo,False,4
CWE-1220,66,6.56,Frequente,0.0011,50.0,187,490,CWE-1220,CWE-1220,Moderado/Baixo,False,3
CWE-672,64,6.65,Baixo Risco,0.001,54.69,192,461,CWE-672,CWE-672,Moderado/Baixo,False,4
CWE-840,69,6.02,Frequente,0.001,30.43,181,622,CWE-840,CWE-840,Moderado/Baixo,False,3
CWE-538,67,6.07,Frequente,0.001,25.37,185,603,CWE-538,CWE-538,Moderado/Baixo,False,3
CWE-441,57,6.98,Baixo Risco,0.001,57.89,195,361,CWE-441,CWE-441,Moderado/Baixo,False,4
CWE-472,53,7.39,Baixo Risco,0.001,56.6,203,246,CWE-472,CWE-472,Moderado/Baixo,False,4
CWE-942,56,6.95,Baixo Risco,0.0009,51.79,198,371,CWE-942,CWE-942,Moderado/Baixo,False,4
CWE-267,53,7.28,Baixo Risco,0.0009,66.04,202,274,CWE-267,CWE-267,Moderado/Baixo,False,4
CWE-648,51,7.47,Baixo Risco,0.0009,68.63,207,222,CWE-648,CWE-648,Moderado/Baixo,False,4
CWE-320,66,5.67,Frequente,0.0009,39.39,189,670,CWE-320,CWE-320,Moderado/Baixo,False,3
CWE-178,49,7.55,Severa,0.0009,69.39,210,180,CWE-178,CWE-178,Moderado/Baixo,False,2
CWE-662,56,6.57,Baixo Risco,0.0009,44.64,199,486,CWE-662,CWE-662,Moderado/Baixo,False,4
CWE-1286,54,6.8,Baixo Risco,0.0009,50.0,200,422,CWE-1286,CWE-1286,Moderado/Baixo,False,4
CWE-598,57,6.4,Baixo Risco,0.0009,38.6,197,529,CWE-598,CWE-598,Moderado/Baixo,False,4
CWE-470,44,8.17,Severa,0.0009,81.82,215,66,CWE-470,CWE-470,Moderado/Baixo,False,2
CWE-407,53,6.63,Baixo Risco,0.0009,62.26,205,469,CWE-407,CWE-407,Moderado/Baixo,False,4
CWE-257,54,6.46,Baixo Risco,0.0008,44.44,201,520,CWE-257,CWE-257,Moderado/Baixo,False,4
CWE-300,50,6.98,Baixo Risco,0.0008,64.0,209,360,CWE-300,CWE-300,Moderado/Baixo,False,4
CWE-123,43,7.93,Severa,0.0008,72.09,216,92,CWE-123,CWE-123,Moderado/Baixo,False,2
CWE-328,51,6.56,Baixo Risco,0.0008,43.14,208,487,CWE-328,CWE-328,Moderado/Baixo,False,4
CWE-379,49,6.71,Baixo Risco,0.0008,53.06,211,443,CWE-379,CWE-379,Moderado/Baixo,False,4
CWE-15,44,7.37,Baixo Risco,0.0008,75.0,214,249,CWE-15,CWE-15,Moderado/Baixo,False,4
CWE-548,51,6.34,Baixo Risco,0.0008,35.29,206,549,CWE-548,CWE-548,Moderado/Baixo,False,4
CWE-388,40,7.77,Severa,0.0008,70.0,221,126,CWE-388,CWE-388,Moderado/Baixo,False,2
CWE-799,53,5.77,Baixo Risco,0.0007,26.42,204,659,CWE-799,CWE-799,Moderado/Baixo,False,4
CWE-90,39,7.63,Severa,0.0007,64.1,223,162,CWE-90,CWE-90,Moderado/Baixo,False,2
CWE-335,38,7.79,Severa,0.0007,78.95,229,123,CWE-335,CWE-335,Moderado/Baixo,False,2
CWE-923,43,6.87,Baixo Risco,0.0007,46.51,217,396,CWE-923,CWE-923,Moderado/Baixo,False,4
CWE-915,38,7.75,Severa,0.0007,71.05,227,131,CWE-915,CWE-915,Moderado/Baixo,False,2
CWE-807,42,6.94,Baixo Risco,0.0007,54.76,219,378,CWE-807,CWE-807,Moderado/Baixo,False,4
CWE-1391,38,7.65,Severa,0.0007,71.05,228,153,CWE-1391,CWE-1391,Moderado/Baixo,False,2
CWE-614,48,6.03,Baixo Risco,0.0007,25.0,212,618,CWE-614,CWE-614,Moderado/Baixo,False,4
CWE-274,39,7.36,Baixo Risco,0.0007,66.67,224,252,CWE-274,CWE-274,Moderado/Baixo,False,4
CWE-197,37,7.74,Severa,0.0007,81.08,233,133,CWE-197,CWE-197,Moderado/Baixo,False,2
CWE-297,43,6.65,Baixo Risco,0.0007,44.19,218,464,CWE-297,CWE-297,Moderado/Baixo,False,4
CWE-653,42,6.62,Baixo Risco,0.0007,45.24,220,473,CWE-653,CWE-653,Moderado/Baixo,False,4
