cwe_id,cves_count,cvss_medio,rank_severity,high_critical_pct,cwe_nome_curto,cwe_label,faixa_cvss_medio,top30_cvss
CWE-565,66,7.54,185,62.12,CWE-565,CWE-565,HIGH,False
CWE-473,3,7.53,186,66.67,CWE-473,CWE-473,HIGH,False
CWE-265,6,7.53,187,66.67,CWE-265,CWE-265,HIGH,False
CWE-298,6,7.52,188,50.0,CWE-298,CWE-298,HIGH,False
CWE-786,8,7.51,189,87.5,CWE-786,CWE-786,HIGH,False
CWE-419,11,7.51,190,72.73,CWE-419,CWE-419,HIGH,False
CWE-428,248,7.5,191,76.61,CWE-428,CWE-428,HIGH,False
CWE-294,187,7.5,192,67.38,CWE-294,CWE-294,HIGH,False
CWE-952,1,7.5,193,100.0,CWE-952,CWE-952,HIGH,False
CWE-5,1,7.5,194,100.0,CWE-5,CWE-5,HIGH,False
CWE-1218,1,7.5,195,100.0,CWE-1218,CWE-1218,HIGH,False
CWE-895,1,7.5,196,100.0,CWE-895,CWE-895,HIGH,False
CWE-166,1,7.5,197,100.0,CWE-166,CWE-166,HIGH,False
CWE-32,2,7.5,198,100.0,CWE-32,CWE-32,HIGH,False
CWE-511,1,7.5,199,100.0,CWE-511,CWE-511,HIGH,False
CWE-520,1,7.5,200,100.0,CWE-520,CWE-520,HIGH,False
CWE-624,1,7.5,201,100.0,CWE-624,CWE-624,HIGH,False
CWE-314,1,7.5,202,100.0,CWE-314,CWE-314,HIGH,False
CWE-227,2,7.5,203,100.0,CWE-227,CWE-227,HIGH,False
CWE-14,8,7.5,204,100.0,CWE-14,CWE-14,HIGH,False
CWE-39,1,7.5,205,100.0,CWE-39,CWE-39,HIGH,False
CWE-1026,1,7.5,206,100.0,CWE-1026,CWE-1026,HIGH,False
CWE-1264,2,7.5,207,100.0,CWE-1264,CWE-1264,HIGH,False
CWE-386,1,7.5,208,100.0,CWE-386,CWE-386,HIGH,False
CWE-839,3,7.5,209,100.0,CWE-839,CWE-839,HIGH,False
CWE-408,2,7.5,210,100.0,CWE-408,CWE-408,HIGH,False
CWE-910,1,7.5,211,100.0,CWE-910,CWE-910,HIGH,False
