pct_cwes_acumulado,pct_cves_acumulado,linha_igualdade
84.646,5.328,84.646
84.78,5.411,84.78
84.913,5.493,84.913
85.047,5.576,85.047
85.18,5.659,85.18
85.314,5.743,85.314
85.447,5.828,85.447
85.581,5.915,85.581
85.714,6.002,85.714
85.848,6.091,85.848
85.981,6.182,85.981
86.115,6.277,86.115
86.248,6.372,86.248
86.382,6.47,86.382
86.515,6.569,86.515
86.649,6.67,86.649
86.782,6.779,86.782
86.916,6.892,86.916
87.049,7.005,87.049
87.183,7.122,87.183
87.316,7.243,87.316
87.45,7.366,87.45
87.583,7.49,87.583
87.717,7.616,87.717
87.85,7.744,87.85
87.984,7.873,87.984
88.117,8.005,88.117
88.251,8.137,88.251
88.385,8.269,88.385
88.518,8.402,88.518
88.652,8.536,88.652
88.785,8.678,88.785
88.919,8.823,88.919
89.052,8.971,89.052
89.186,9.119,89.186
89.319,9.27,89.319
89.453,9.421,89.453
89.586,9.573,89.586
89.72,9.727,89.72
89.853,9.883,89.853
89.987,10.04,89.987
90.12,10.202,90.12
90.254,10.371,90.254
90.387,10.544,90.387
90.521,10.718,90.521
90.654,10.894,90.654
90.788,11.071,90.788
90.921,11.248,90.921
91.055,11.426,91.055
91.188,11.612,91.188
91.322,11.808,91.322
91.455,12.006,91.455
91.589,12.211,91.589
91.722,12.419,91.722
91.856,12.63,91.856
91.989,12.85,91.989
92.123,13.082,92.123
92.256,13.316,92.256
92.39,13.557,92.39
92.523,13.8,92.523
92.657,14.051,92.657
92.79,14.302,92.79
92.924,14.554,92.924
93.057,14.813,93.057
93.191,15.071,93.191
93.324,15.338,93.324
93.458,15.615,93.458
93.591,15.901,93.591
93.725,16.267,93.725
93.858,16.634,93.858
93.992,17.008,93.992
94.126,17.434,94.126
94.259,17.86,94.259
94.393,18.301,94.393
94.526,18.741,94.526
94.66,19.188,94.66
94.793,19.664,94.793
94.927,20.157,94.927
95.06,20.665,95.06
95.194,21.174,95.194
95.327,21.72,95.327
95.461,22.274,95.461
95.594,22.837,95.594
95.728,23.492,95.728
95.861,24.163,95.861
95.995,24.852,95.995
96.128,25.598,96.128
96.262,26.416,96.262
96.395,27.284,96.395
96.529,28.171,96.529
96.662,29.067,96.662
96.796,30.014,96.796
96.929,30.977,96.929
97.063,31.943,97.063
97.196,32.976,97.196
97.33,34.01,97.33
97.463,35.334,97.463
97.597,36.659,97.597
97.73,38.027,97.73
97.864,39.452,97.864
97.997,40.981,97.997
98.131,42.674,98.131
98.264,44.479,98.264
98.398,46.44,98.398
98.531,48.44,98.531
98.665,50.741,98.665
98.798,53.065,98.798
98.932,55.917,98.932
99.065,58.796,99.065
99.199,61.931,99.199
99.332,65.325,99.332
99.466,69.503,99.466
99.599,74.233,99.599
99.733,78.976,99.733
99.866,85.239,99.866
100.0,100.0,100.0
