cwe_id,cves_count,rank_freq,pct_acumulado,cwe_nome_curto,cwe_label,pct_do_total,in_pareto80,top30
CWE-61,99,159,96.87,CWE-61,CWE-61,0.035,False,False
CWE-24,98,160,96.91,CWE-24,CWE-24,0.035,False,False
CWE-95,98,161,96.94,CWE-95,CWE-95,0.035,False,False
CWE-212,95,162,96.98,CWE-212,CWE-212,0.034,False,False
CWE-93,92,163,97.01,CWE-93,CWE-93,0.033,False,False
CWE-602,91,164,97.04,CWE-602,CWE-602,0.033,False,False
CWE-706,89,165,97.08,CWE-706,CWE-706,0.032,False,False
CWE-208,89,166,97.11,CWE-208,CWE-208,0.032,False,False
CWE-763,85,167,97.14,CWE-763,CWE-763,0.03,False,False
CWE-117,85,168,97.17,CWE-117,CWE-117,0.03,False,False
CWE-823,83,169,97.2,CWE-823,CWE-823,0.03,False,False
CWE-436,79,170,97.23,CWE-436,CWE-436,0.028,False,False
CWE-591,77,171,97.25,CWE-591,CWE-591,0.028,False,False
CWE-789,77,172,97.28,CWE-789,CWE-789,0.028,False,False
CWE-377,76,173,97.31,CWE-377,CWE-377,0.027,False,False
CWE-926,75,174,97.34,CWE-926,CWE-926,0.027,False,False
CWE-1392,75,175,97.36,CWE-1392,CWE-1392,0.027,False,False
CWE-913,73,176,97.39,CWE-913,CWE-913,0.026,False,False
CWE-506,73,177,97.41,CWE-506,CWE-506,0.026,False,False
CWE-669,71,178,97.44,CWE-669,CWE-669,0.025,False,False
CWE-489,71,179,97.47,CWE-489,CWE-489,0.025,False,False
CWE-303,70,180,97.49,CWE-303,CWE-303,0.025,False,False
CWE-840,69,181,97.52,CWE-840,CWE-840,0.025,False,False
CWE-130,69,182,97.54,CWE-130,CWE-130,0.025,False,False
CWE-113,68,183,97.56,CWE-113,CWE-113,0.024,False,False
CWE-620,67,184,97.59,CWE-620,CWE-620,0.024,False,False
CWE-538,67,185,97.61,CWE-538,CWE-538,0.024,False,False
CWE-912,67,186,97.64,CWE-912,CWE-912,0.024,False,False
CWE-1220,66,187,97.66,CWE-1220,CWE-1220,0.024,False,False
CWE-776,66,188,97.68,CWE-776,CWE-776,0.024,False,False
CWE-320,66,189,97.71,CWE-320,CWE-320,0.024,False,False
CWE-565,66,190,97.73,CWE-565,CWE-565,0.024,False,False
CWE-277,65,191,97.75,CWE-277,CWE-277,0.023,False,False
CWE-672,64,192,97.78,CWE-672,CWE-672,0.023,False,False
CWE-184,61,193,97.8,CWE-184,CWE-184,0.022,False,False
CWE-1390,59,194,97.82,CWE-1390,CWE-1390,0.021,False,False
CWE-441,57,195,97.84,CWE-441,CWE-441,0.02,False,False
CWE-29,57,196,97.86,CWE-29,CWE-29,0.02,False,False
CWE-598,57,197,97.88,CWE-598,CWE-598,0.02,False,False
CWE-942,56,198,97.9,CWE-942,CWE-942,0.02,False,False
CWE-662,56,199,97.92,CWE-662,CWE-662,0.02,False,False
CWE-1286,54,200,97.94,CWE-1286,CWE-1286,0.019,False,False
CWE-257,54,201,97.96,CWE-257,CWE-257,0.019,False,False
CWE-267,53,202,97.98,CWE-267,CWE-267,0.019,False,False
CWE-472,53,203,98.0,CWE-472,CWE-472,0.019,False,False
CWE-799,53,204,98.02,CWE-799,CWE-799,0.019,False,False
CWE-407,53,205,98.04,CWE-407,CWE-407,0.019,False,False
CWE-548,51,206,98.05,CWE-548,CWE-548,0.018,False,False
CWE-648,51,207,98.07,CWE-648,CWE-648,0.018,False,False
CWE-328,51,208,98.09,CWE-328,CWE-328,0.018,False,False
CWE-300,50,209,98.11,CWE-300,CWE-300,0.018,False,False
CWE-178,49,210,98.13,CWE-178,CWE-178,0.018,False,False
CWE-379,49,211,98.14,CWE-379,CWE-379,0.018,False,False
CWE-614,48,212,98.16,CWE-614,CWE-614,0.017,False,False
CWE-99,45,213,98.18,CWE-99,CWE-99,0.016,False,False
CWE-15,44,214,98.19,CWE-15,CWE-15,0.016,False,False
CWE-470,44,215,98.21,CWE-470,CWE-470,0.016,False,False
CWE-123,43,216,98.22,CWE-123,CWE-123,0.015,False,False
CWE-923,43,217,98.24,CWE-923,CWE-923,0.015,False,False
CWE-297,43,218,98.26,CWE-297,CWE-297,0.015,False,False
CWE-807,42,219,98.27,CWE-807,CWE-807,0.015,False,False
CWE-653,42,220,98.29,CWE-653,CWE-653,0.015,False,False
CWE-388,40,221,98.3,CWE-388,CWE-388,0.014,False,False
CWE-664,39,222,98.31,CWE-664,CWE-664,0.014,False,False
CWE-90,39,223,98.33,CWE-90,CWE-90,0.014,False,False
CWE-274,39,224,98.34,CWE-274,CWE-274,0.014,False,False
CWE-378,39,225,98.36,CWE-378,CWE-378,0.014,False,False
CWE-87,38,226,98.37,CWE-87,CWE-87,0.014,False,False
CWE-915,38,227,98.38,CWE-915,CWE-915,0.014,False,False
CWE-1391,38,228,98.4,CWE-1391,CWE-1391,0.014,False,False
CWE-335,38,229,98.41,CWE-335,CWE-335,0.014,False,False
CWE-644,37,230,98.42,CWE-644,CWE-644,0.013,False,False
CWE-325,37,231,98.44,CWE-325,CWE-325,0.013,False,False
CWE-940,37,232,98.45,CWE-940,CWE-940,0.013,False,False
CWE-197,37,233,98.46,CWE-197,CWE-197,0.013,False,False
CWE-1285,37,234,98.48,CWE-1285,CWE-1285,0.013,False,False
CWE-385,36,235,98.49,CWE-385,CWE-385,0.013,False,False
CWE-150,36,236,98.5,CWE-150,CWE-150,0.013,False,False
CWE-805,35,237,98.52,CWE-805,CWE-805,0.013,False,False
CWE-440,34,238,98.53,CWE-440,CWE-440,0.012,False,False
CWE-273,34,239,98.54,CWE-273,CWE-273,0.012,False,False
CWE-348,34,240,98.55,CWE-348,CWE-348,0.012,False,False
CWE-92,34,241,98.56,CWE-92,CWE-92,0.012,False,False
CWE-170,34,242,98.58,CWE-170,CWE-170,0.012,False,False
CWE-841,34,243,98.59,CWE-841,CWE-841,0.012,False,False
CWE-316,33,244,98.6,CWE-316,CWE-316,0.012,False,False
CWE-471,33,245,98.61,CWE-471,CWE-471,0.012,False,False
CWE-261,33,246,98.62,CWE-261,CWE-261,0.012,False,False
CWE-405,32,247,98.64,CWE-405,CWE-405,0.011,False,False
CWE-75,31,248,98.65,CWE-75,CWE-75,0.011,False,False
CWE-353,31,249,98.66,CWE-353,CWE-353,0.011,False,False
CWE-241,31,250,98.67,CWE-241,CWE-241,0.011,False,False
CWE-691,31,251,98.68,CWE-691,CWE-691,0.011,False,False
CWE-420,30,252,98.69,CWE-420,CWE-420,0.011,False,False
CWE-302,30,253,98.7,CWE-302,CWE-302,0.011,False,False
CWE-524,30,254,98.71,CWE-524,CWE-524,0.011,False,False
CWE-1004,30,255,98.72,CWE-1004,CWE-1004,0.011,False,False
CWE-924,30,256,98.73,CWE-924,CWE-924,0.011,False,False
CWE-286,29,257,98.74,CWE-286,CWE-286,0.01,False,False
CWE-356,29,258,98.75,CWE-356,CWE-356,0.01,False,False
CWE-409,29,259,98.76,CWE-409,CWE-409,0.01,False,False
CWE-349,29,260,98.78,CWE-349,CWE-349,0.01,False,False
CWE-1393,29,261,98.79,CWE-1393,CWE-1393,0.01,False,False
CWE-213,28,262,98.8,CWE-213,CWE-213,0.01,False,False
CWE-202,28,263,98.81,CWE-202,CWE-202,0.01,False,False
CWE-424,28,264,98.82,CWE-424,CWE-424,0.01,False,False
CWE-323,27,265,98.83,CWE-323,CWE-323,0.01,False,False
CWE-304,27,266,98.84,CWE-304,CWE-304,0.01,False,False
CWE-115,26,267,98.84,CWE-115,CWE-115,0.009,False,False
CWE-782,26,268,98.85,CWE-782,CWE-782,0.009,False,False
CWE-540,26,269,98.86,CWE-540,CWE-540,0.009,False,False
CWE-825,26,270,98.87,CWE-825,CWE-825,0.009,False,False
CWE-185,25,271,98.88,CWE-185,CWE-185,0.009,False,False
CWE-124,25,272,98.89,CWE-124,CWE-124,0.009,False,False
CWE-282,25,273,98.9,CWE-282,CWE-282,0.009,False,False
CWE-114,24,274,98.91,CWE-114,CWE-114,0.009,False,False
CWE-233,24,275,98.92,CWE-233,CWE-233,0.009,False,False
CWE-27,24,276,98.93,CWE-27,CWE-27,0.009,False,False
CWE-118,24,277,98.93,CWE-118,CWE-118,0.009,False,False
CWE-592,23,278,98.94,CWE-592,CWE-592,0.008,False,False
CWE-402,23,279,98.95,CWE-402,CWE-402,0.008,False,False
CWE-391,23,280,98.96,CWE-391,CWE-391,0.008,False,False
CWE-791,23,281,98.97,CWE-791,CWE-791,0.008,False,False
CWE-270,23,282,98.97,CWE-270,CWE-270,0.008,False,False
CWE-260,23,283,98.98,CWE-260,CWE-260,0.008,False,False
CWE-289,22,284,98.99,CWE-289,CWE-289,0.008,False,False
CWE-96,22,285,99.0,CWE-96,CWE-96,0.008,False,False
CWE-690,22,286,99.01,CWE-690,CWE-690,0.008,False,False
CWE-525,22,287,99.01,CWE-525,CWE-525,0.008,False,False
CWE-501,21,288,99.02,CWE-501,CWE-501,0.008,False,False
CWE-41,21,289,99.03,CWE-41,CWE-41,0.008,False,False
CWE-340,21,290,99.04,CWE-340,CWE-340,0.008,False,False
